,source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank
102,thal_proj,pfc_rgc,MDK,NOTCH2,1,1444.4,0.038688219,1036,0.338773294,1375,0.066555793,1525,0.784885887,1684,0.102,1602
103,thal_proj,pfc_rgc,LRPAP1,LRP8,1,1566.3,0.034746704,1115,0.228367082,1559,-0.127845406,1694,0.721329409,1930,0.051,1533.5
104,thal_proj,pfc_rgc,IL1RAPL1,PTPRS,1,1712,0.020113126,1436,0.22124854,1572,-0.57046432,1884,0.731309735,1910,0.488,1758
105,thal_proj,pfc_rgc,COL18A1,PTPRS,1,1544.7,0.019159579,1463,0.845117773,649,-0.512623572,1869,0.699259808,1962,0.566,1780.5
106,thal_proj,pfc_rgc,MDK,SDC3,1,1744.4,0.013411126,1643,0.143707098,1688,-0.396040731,1832,0.747474122,1861,0.279,1698
107,thal_proj,pfc_rgc,MDK,NCL,1,1550.4,0.012561207,1670,0.136706824,1696,-0.383714166,1830,0.861202477,949,0.106,1607
108,thal_proj,pfc_rgc,NTRK3,PTPRS,1,1797.8,0.009149257,1785,0.111031557,1736,-0.717201673,1918,0.760691907,1811,0.429,1739
109,thal_proj,pfc_rgc,SIRPA,CD47,1,1874.8,0.008247301,1817.5,0.104571911,1746.5,-0.804291128,1933.5,0.661322914,1984.5,0.944,1892
110,thal_proj,pfc_rgc,PTN,PTPRS,1,1232.8,0.007832277,1830,0.347790704,1353,-0.373939096,1825,0.891510626,577,0,579
111,thal_proj,pfc_rgc,SLITRK2,PTPRS,1,1905.7,0.007246062,1845,-0.05453978,1906,-0.834921815,1937,0.649664286,1987,0.849,1853.5
