Uniprot	Gene Symbol
UniProtKB:Q9NZV6	MSRB1
UniProtKB:O15344	MID1
UniProtKB:Q96QP1	ALPK1
UniProtKB:Q96R06	SPAG5
UniProtKB:Q13049	TRIM32
UniProtKB:Q13045	FLII
UniProtKB:Q13042	CDC16
UniProtKB:Q9NVX0	HAUS2
UniProtKB:Q13015	MLLT11
UniProtKB:Q9NVR7	TBCCD1
UniProtKB:Q96QF0	RAB3IP
UniProtKB:Q9NVP4	DZANK1
UniProtKB:Q9NVN3	RIC8B
UniProtKB:Q6XZF7	DNMBP
UniProtKB:Q96QB1	DLC1
UniProtKB:Q9NVJ2	ARL8B
UniProtKB:P0DSO2	SCYGR9
UniProtKB:Q5UIP0	RIF1
UniProtKB:Q9NVH0	EXD2
UniProtKB:Q96PY6	NEK1
UniProtKB:Q9NVD7	PARVA
UniProtKB:Q96Q89	KIF20B
UniProtKB:P81274	GPSM2
UniProtKB:Q96PU9	CIMAP1A
UniProtKB:Q9NVA2	SEPTIN11
UniProtKB:Q96Q42	ALS2
UniProtKB:Q96Q35	FLACC1
UniProtKB:Q96Q27	ASB2
UniProtKB:Q96PN6	ADCY10
UniProtKB:Q9NV58	RNF19A
UniProtKB:Q9H9P2	CHODL
UniProtKB:Q96PF2	TSSK2
UniProtKB:P98174	FGD1
UniProtKB:P98171	ARHGAP4
UniProtKB:Q9H9L4	KANSL2
UniProtKB:Q9NV06	DCAF13
UniProtKB:Q9NUL3	STAU2
UniProtKB:Q9H9H5	MAP6D1
UniProtKB:Q9NUJ3	TCP11L1
UniProtKB:Q9H9E1	ANKRA2
UniProtKB:Q5SY16	NOL9
UniProtKB:Q96P20	NLRP3
UniProtKB:Q9H992	MARCHF7
UniProtKB:Q03001	DST
UniProtKB:Q96T88	UHRF1
UniProtKB:Q9NYC9	DNAH9
UniProtKB:Q96T76	MMS19
UniProtKB:Q9NYB9	ABI2
UniProtKB:Q96ST8	CEP89
UniProtKB:P61026	RAB10
UniProtKB:Q96T17	MAP7D2
UniProtKB:O15195	VILL
UniProtKB:Q702N8	XIRP1
UniProtKB:O15182	CETN3
UniProtKB:P61006	RAB8A
UniProtKB:Q96SN8	CDK5RAP2
UniProtKB:Q13257	MAD2L1
UniProtKB:Q9NY99	SNTG2
UniProtKB:Q13232	NME3
UniProtKB:Q13224	GRIN2B
UniProtKB:O15145	ARPC3
UniProtKB:O15144	ARPC2
UniProtKB:O15143	ARPC1B
UniProtKB:Q96SI9	STRBP
UniProtKB:O15117	FYB1
UniProtKB:Q9NXR1	NDE1
UniProtKB:O15105	SMAD7
UniProtKB:Q9NY27	PPP4R2
UniProtKB:Q5SW96	LDLRAP1
UniProtKB:A8MVW5	HEPACAM2
UniProtKB:Q96SB3	PPP1R9B
UniProtKB:Q03252	LMNB2
UniProtKB:Q69YQ0	SPECC1L
UniProtKB:Q9NXG0	CNTLN
UniProtKB:P14136	GFAP
UniProtKB:Q96RY7	IFT140
UniProtKB:Q9NXB0	MKS1
UniProtKB:Q96RU3	FNBP1
UniProtKB:Q96S59	RANBP9
UniProtKB:Q96RT8	TUBGCP5
UniProtKB:Q96RT7	TUBGCP6
UniProtKB:Q9H3Q1	CDC42EP4
UniProtKB:Q9ULW0	TPX2
UniProtKB:Q96JH8	RADIL
UniProtKB:Q9H410	DSN1
UniProtKB:Q9ULV4	CORO1C
UniProtKB:Q9ULV0	MYO5B
UniProtKB:Q9UM54	MYO6
UniProtKB:Q96JE9	MAP6
UniProtKB:P54274	TERF1
UniProtKB:Q96JB8	MPP4
UniProtKB:Q96JB5	CDK5RAP3
UniProtKB:Q96JB1	DNAH8
UniProtKB:P54257	HAP1
UniProtKB:Q06495	SLC34A1
UniProtKB:Q9ULM3	YEATS2
UniProtKB:Q5JVL4	EFHC1
UniProtKB:Q9ULM0	PLEKHH1
UniProtKB:Q9ULJ1	ODF2L
UniProtKB:Q96IZ0	PAWR
UniProtKB:P10916	MYL2
UniProtKB:P10911	MCF2
UniProtKB:Q9ULH1	ASAP1
UniProtKB:Q9ULG1	INO80
UniProtKB:P17612	PRKACA
UniProtKB:Q9ULE3	DENND2A
UniProtKB:P17600	SYN1
UniProtKB:O75690	KRTAP5-8
UniProtKB:Q9ULD2	MTUS1
UniProtKB:Q9ULC3	RAB23
UniProtKB:O75665	OFD1
UniProtKB:O75638	CTAG2
UniProtKB:O75607	NPM3
UniProtKB:O75604	USP2
UniProtKB:O75602	SPAG6
UniProtKB:Q16659	MAPK6
UniProtKB:Q16658	FSCN1
UniProtKB:Q9UKX3	MYH13
UniProtKB:Q9UKX2	MYH2
UniProtKB:Q9H329	EPB41L4B
UniProtKB:A2IDD5	CCDC78
UniProtKB:Q9UQE7	SMC3
UniProtKB:Q9UQB9	AURKC
UniProtKB:Q9UQB8	BAIAP2
UniProtKB:Q9H7X7	IFT22
UniProtKB:Q9H892	TTC12
UniProtKB:Q9H7U1	CCSER2
UniProtKB:Q9H7T9	AUNIP
UniProtKB:Q96NL6	SCLT1
UniProtKB:Q9H853	TUBA4B
UniProtKB:Q9UPZ9	CILK1
UniProtKB:Q9NSV4	DIAPH3
UniProtKB:Q9UPY8	MAPRE3
UniProtKB:Q9UPY6	WASF3
UniProtKB:Q9UPX8	SHANK2
UniProtKB:Q0D2I5	IFFO1
UniProtKB:Q09FC8	ZNF415
UniProtKB:Q9H816	DCLRE1B
UniProtKB:Q9UPV0	CEP164
UniProtKB:Q96NG3	ODAD4
UniProtKB:Q9UPT5	EXOC7
UniProtKB:Q96NE9	FRMD6
UniProtKB:Q9UPS8	ANKRD26
UniProtKB:O14757	CHEK1
UniProtKB:Q9NSN8	SNTG1
UniProtKB:Q9UPQ0	LIMCH1
UniProtKB:Q96NB1	CEP20
UniProtKB:P54652	HSPA2
UniProtKB:Q96NA2	RILP
UniProtKB:Q9UQ03	CORO2B
UniProtKB:Q9NSK0	KLC4
UniProtKB:Q9UPN4	CEP131
UniProtKB:Q9UPN3	MACF1
UniProtKB:Q9UPM9	B9D1
UniProtKB:Q9NSI6	BRWD1
UniProtKB:Q9H7D0	DOCK5
UniProtKB:Q9H7C4	SYNC
UniProtKB:Q96MY7	FAM161B
UniProtKB:P0DPH8	TUBA3D
UniProtKB:P0DPH7	TUBA3C
UniProtKB:Q9NSB4	KRT82
UniProtKB:Q9NSB2	KRT84
UniProtKB:Q96MT8	CEP63
UniProtKB:Q96MT7	CFAP44
UniProtKB:Q96MR6	CFAP57
UniProtKB:Q9UPA5	BSN
UniProtKB:Q96N23	CFAP54
UniProtKB:Q96N16	JAKMIP1
UniProtKB:Q9H792	PEAK1
UniProtKB:Q32P44	EML3
UniProtKB:Q9NRY4	ARHGAP35
UniProtKB:Q9H6U6	BCAS3
UniProtKB:Q9NS91	RAD18
UniProtKB:Q9NS86	LANCL2
UniProtKB:Q9NRW4	DUSP22
UniProtKB:Q9H6S3	EPS8L2
UniProtKB:Q9NS73	MBIP
UniProtKB:Q9NS56	TOPORS
UniProtKB:P07737	PFN1
UniProtKB:Q9NRR8	CDC42SE1
UniProtKB:Q9NRR6	INPP5E
UniProtKB:Q9NRR3	CDC42SE2
UniProtKB:Q9H6N6	MYH16
UniProtKB:Q9NS23	RASSF1
UniProtKB:O75935	DCTN3
UniProtKB:O75934	BCAS2
UniProtKB:Q96M02	C10orf90
UniProtKB:O75925	PIAS1
UniProtKB:O75923	DYSF
UniProtKB:Q9H5V9	STEEP1
UniProtKB:Q9NQY0	BIN3
UniProtKB:O75915	ARL6IP5
UniProtKB:Q96LM6	SPMIP9
UniProtKB:Q9NQX4	MYO5C
UniProtKB:Q9NQW6	ANLN
UniProtKB:Q9UNZ2	NSFL1C
UniProtKB:Q96LK0	CEP19
UniProtKB:Q9NR64	KLHL1
UniProtKB:Q9NQT8	KIF13B
UniProtKB:Q9NQS7	INCENP
UniProtKB:Q9H5N1	RABEP2
UniProtKB:Q9NR20	DYRK4
UniProtKB:Q9UNT1	RABL2B
UniProtKB:Q9NR12	PDLIM7
UniProtKB:Q96LD1	SGCZ
UniProtKB:Q9NR09	BIRC6
UniProtKB:Q96LC9	BMF
UniProtKB:Q9H5J8	TAF1D
UniProtKB:Q96LB3	IFT74
UniProtKB:Q9NQL2	RRAGD
UniProtKB:Q9UNN8	PROCR
UniProtKB:Q9H5F2	CFAP68
UniProtKB:Q6A163	KRT39
UniProtKB:Q6A162	KRT40
UniProtKB:Q9UNL4	ING4
UniProtKB:P36507	MAP2K2
UniProtKB:Q9UNH5	CDC14A
UniProtKB:Q96L93	KIF16B
UniProtKB:Q9NQC8	IFT46
UniProtKB:Q9NQC7	CYLD
UniProtKB:Q9UNF0	PACSIN2
UniProtKB:Q96KV7	WDR90
UniProtKB:Q06609	RAD51
UniProtKB:Q32MZ4	LRRFIP1
UniProtKB:Q96L34	MARK4
UniProtKB:Q9H4Z3	PCIF1
UniProtKB:Q9UNA1	ARHGAP26
UniProtKB:Q9H4X1	RGCC
UniProtKB:O75838	CIB2
UniProtKB:P60763	RAC3
UniProtKB:O75832	PSMD10
UniProtKB:Q96L03	SPATA17
UniProtKB:Q96KN7	RPGRIP1
UniProtKB:Q96KN3	PKNOX2
UniProtKB:Q9H568	ACTL8
UniProtKB:O75800	ZMYND10
UniProtKB:Q9NQ86	TRIM36
UniProtKB:Q9NQ75	CASS4
UniProtKB:Q16832	DDR2
UniProtKB:Q5JV73	FRMPD3
UniProtKB:P07332	FES
UniProtKB:Q9H307	PNN
UniProtKB:Q96IF1	AJUBA
UniProtKB:Q9UL54	TAOK2
UniProtKB:P07305	H1-0
UniProtKB:Q9UL45	BLOC1S6
UniProtKB:Q9H2K2	TNKS2
UniProtKB:Q9UL26	RAB22A
UniProtKB:Q9UL16	CFAP45
UniProtKB:Q9UL03	INTS6
UniProtKB:Q9UKN7	MYO15A
UniProtKB:Q9H2F9	CCDC68
UniProtKB:Q9UKK3	PARP4
UniProtKB:P54105	CLNS1A
UniProtKB:Q9H2D6	TRIOBP
UniProtKB:Q9H2C0	GAN
UniProtKB:Q9UKI2	CDC42EP3
UniProtKB:Q9UKE5	TNIK
UniProtKB:O75592	MYCBP2
UniProtKB:Q9UKB1	FBXW11
UniProtKB:O95447	LCA5L
UniProtKB:Q9H1Z4	WDR13
UniProtKB:Q9UKA4	AKAP11
UniProtKB:Q9H1Y0	ATG5
UniProtKB:O95166	GABARAP
UniProtKB:Q9H1X1	RSPH9
UniProtKB:Q16587	ZNF74
UniProtKB:Q16586	SGCA
UniProtKB:Q16585	SGCB
UniProtKB:Q16584	MAP3K11
UniProtKB:O75528	TADA3
UniProtKB:P00568	AK1
UniProtKB:O75508	CLDN11
UniProtKB:Q16555	DPYSL2
UniProtKB:Q16825	PTPN21
UniProtKB:Q9NQ48	LZTFL1
UniProtKB:Q96KG9	SCYL1
UniProtKB:Q6ZS72	PEAK3
UniProtKB:Q9UMS6	SYNPO2
UniProtKB:Q9UMS4	PRPF19
UniProtKB:Q9H4K1	RIBC2
UniProtKB:Q9UMQ3	BARX2
UniProtKB:Q9H4H8	FAM83D
UniProtKB:Q9H4G0	EPB41L1
UniProtKB:Q9NPJ3	ACOT13
UniProtKB:Q9NPJ1	MKKS
UniProtKB:Q9H4E7	DEF6
UniProtKB:Q9NPG3	UBN1
UniProtKB:Q96JY6	PDLIM2
UniProtKB:Q9H4B7	TUBB1
UniProtKB:Q9H4B4	PLK3
UniProtKB:Q9NPE6	SPAG4
UniProtKB:Q9NPE2	NGRN
UniProtKB:Q9H4A3	WNK1
UniProtKB:Q9NPC6	MYOZ2
UniProtKB:Q9NPB6	PARD6A
UniProtKB:O75771	RAD51D
UniProtKB:Q96K30	RITA1
UniProtKB:Q96K21	ZFYVE19
UniProtKB:Q96JP2	MYO15B
UniProtKB:Q9H492	MAP1LC3A
UniProtKB:Q96JN8	NEURL4
UniProtKB:Q9NP97	DYNLRB1
UniProtKB:P07476	IVL
UniProtKB:Q9ULZ3	PYCARD
UniProtKB:Q9ULZ2	STAP1
UniProtKB:Q9H3S7	PTPN23
UniProtKB:Q13418	ILK
UniProtKB:Q9NZU7	CABP1
UniProtKB:Q13409	DYNC1I2
UniProtKB:Q13402	MYO7A
UniProtKB:Q9NZR1	TMOD2
UniProtKB:Q9NZQ9	TMOD4
UniProtKB:Q9NZQ7	CD274
UniProtKB:Q9NZQ3	NCKIPSD
UniProtKB:P34897	SHMT2
UniProtKB:Q9NZN4	EHD2
UniProtKB:Q9NZM3	ITSN2
UniProtKB:Q9NZM1	MYOF
UniProtKB:P56597	NME5
UniProtKB:Q9NZJ0	DTL
UniProtKB:H7BZ55	CROCC2
UniProtKB:Q9NZA1	CLIC5
UniProtKB:P61163	ACTR1A
UniProtKB:P61160	ACTR2
UniProtKB:P61158	ACTR3
UniProtKB:O15296	ALOX15B
UniProtKB:Q9NYZ3	GTSE1
UniProtKB:P04083	ANXA1
UniProtKB:P04075	ALDOA
UniProtKB:O15265	ATXN7
UniProtKB:B1AK53	ESPN
UniProtKB:Q13315	ATM
UniProtKB:O15231	ZNF185
UniProtKB:Q13303	KCNAB2
UniProtKB:Q9NYT0	PLEK2
UniProtKB:Q9NZ32	ACTR10
UniProtKB:Q9NZ20	PLA2G3
UniProtKB:Q96TC7	RMDN3
UniProtKB:Q8N4U5	TCP11L2
UniProtKB:Q13424	SNTA1
UniProtKB:Q9NYL9	TMOD3
UniProtKB:Q13188	STK3
UniProtKB:Q9GZY1	PBOV1
UniProtKB:Q13185	CBX3
UniProtKB:P24385	CCND1
UniProtKB:Q701N4	KRTAP5-2
UniProtKB:Q701N2	KRTAP5-5
UniProtKB:Q13163	MAP2K5
UniProtKB:O15083	ERC2
UniProtKB:O15079	SNPH
UniProtKB:Q9NX95	SYBU
UniProtKB:O15066	KIF3B
UniProtKB:O15061	SYNM
UniProtKB:Q13137	CALCOCO2
UniProtKB:Q96RK4	BBS4
UniProtKB:Q9GZQ8	MAP1LC3B
UniProtKB:Q9NX55	HYPK
UniProtKB:O15020	SPTBN2
UniProtKB:O15018	PDZD2
UniProtKB:O15013	ARHGEF10
UniProtKB:Q9GZN2	TGIF2
UniProtKB:Q9GZM8	NDEL1
UniProtKB:Q66K74	MAP1S
UniProtKB:Q8N6V9	TEX9
UniProtKB:Q6KB66	KRT80
UniProtKB:Q9NWD9	BEX4
UniProtKB:Q9NWB7	IFT57
UniProtKB:Q13085	ACACA
UniProtKB:Q9UI47	CTNNA3
UniProtKB:Q9UI46	DNAI1
UniProtKB:Q8NBT0	POC1A
UniProtKB:Q9UHR5	SAP30BP
