Gene_symbol,log2FC_RNA,log2FC_Protein,RNA_diff,Protein_diff,RNA_protein_diff,diff_colour,Final_colour
AIF1,-3.0434505789254818,-0.47285907375301583,Down,No,-2.570591505172466,Big,blue
AIF1L,0.3382940659969784,-1.1708669558622589,No,Down,1.5091610218592373,Big,ltblue
AIFM1,0.016723601701194468,-0.2116793922692377,No,No,0.22840299397043218,Small,grey
AIFM2,-0.3674259805958995,-0.1664207610969335,No,No,-0.201005219498966,Small,grey
AIMP1,0.2311513017449771,-0.2618082069401346,No,No,0.49295950868511174,Small,grey
AIMP2,0.28540088928329377,-0.17546932916967783,No,No,0.4608702184529716,Small,grey
AIP,0.9218975442703314,-0.08627307530150397,No,No,1.0081706195718354,Big,grey
AJM1,NA,0.6246850163232684,NA,No,NA,NA,NA
AK1,0.16666860230835212,0.842561639602895,No,No,-0.6758930372945429,Small,grey
AK2,0.08039284911738576,-1.3084749390974793,No,Down,1.388867788214865,Big,ltblue
AK3,0.31687947114914206,-0.5216570306585933,No,No,0.8385365018077353,Small,grey
AK4,0.8876024658693211,-0.70113041524076,No,No,1.5887328811100812,Big,grey
AK5,-1.592069138399887,-1.2490806396223064,Down,Down,-0.34298849877758064,Small,yellow
AK9,NA,1.155278225477911,NA,Up,NA,NA,NA
AKAP1,0.3399059881742521,-0.28963506798444705,No,No,0.6295410561586992,Small,grey
AKAP10,0.41212261416212104,0.6800967405901277,No,No,-0.26797412642800666,Small,grey
AKAP11,-0.43766915765562286,-0.42881345066143073,No,No,-0.008855706994192136,Small,grey
AKAP12,-2.7340053303403686,-0.08987448809737941,Down,No,-2.6441308422429892,Big,blue
AKAP13,0.3301407595160146,-0.46241994499227346,No,No,0.7925607045082881,Small,grey
AKAP17A,NA,-0.5702908992852045,NA,No,NA,NA,NA
AKAP2,-1.5906347303511783,0.5763205738208548,Down,No,-2.166955304172033,Big,blue
AKAP5,0.1344734271337531,-2.148948654911461,No,Down,2.283422082045214,Big,ltblue
AKAP6,-1.3518215523467587,-0.2185707103840393,Down,No,-1.1332508419627194,Big,blue
AKAP7,1.5145600604355751,2.6771042658009883,Up,Up,-1.1625442053654131,Big,orange
AKAP8,0.5482397488417998,-0.8512276523797144,No,No,1.3994674012215143,Big,grey
AKAP8L,0.3010804912313061,-0.21360580394128448,No,No,0.5146862951725906,Small,grey
AKAP9,1.0034971804409183,-0.39189393296425834,Up,No,1.3953911134051766,Big,blue
AKR1A1,0.2765708235764972,-0.07356018810068043,No,No,0.35013101167717764,Small,grey
AKR1B1,0.5088049246095321,0.2922777709947688,No,No,0.21652715361476327,Small,grey
AKR1C1,0.6017957127787872,1.432028057361829,No,Up,-0.8302323445830417,Small,ltblue
AKR7A2,-0.11939445332940446,-0.7936383292131328,No,No,0.6742438758837284,Small,grey
AKT1,1.0111900223295045,0.09374374119243534,Up,No,0.9174462811370692,Small,blue
AKT1S1,0.32233906507409316,0.09019780897157759,No,No,0.23214125610251557,Small,grey
AKT2,0.10446635348668565,-0.9777563425777629,No,No,1.0822226960644485,Big,grey
AKT3,0.3041416960325489,0.4235557082684487,No,No,-0.11941401223589976,Small,grey
AKTIP,-0.03457836209631937,0.25276932238481464,No,No,-0.287347684481134,Small,grey
ALAD,0.1429125202121746,-1.4165736432119687,No,Down,1.5594861634241433,Big,ltblue
ALB,-0.644120314824904,0.08824779335160926,No,No,-0.7323681081765132,Small,grey
ALCAM,0.9596232799830342,0.5092550797027595,No,No,0.4503682002802747,Small,grey
ALDH16A1,-0.21273158446552554,-0.8779153281914844,No,No,0.6651837437259589,Small,grey
ALDH18A1,0.59409203625686,-0.8358542918133125,No,No,1.4299463280701725,Big,grey
ALDH1A1,-1.1040973169648334,-1.8552816306217679,Down,Down,0.7511843136569345,Small,yellow
ALDH1A2,-3.2513231474405964,3.256746868718335,Down,Up,-6.508070016158932,Big,red
ALDH1B1,-0.8512262645927611,-0.24596133076756743,No,No,-0.6052649338251936,Small,grey
ALDH1L1,-4.310452594448572,-2.490472923029265,Down,Down,-1.8199796714193068,Big,orange
ALDH1L2,0.2142039486995132,-0.5537180127256232,No,No,0.7679219614251364,Small,grey
ALDH2,0.23005437628817216,-0.07561555858094593,No,No,0.3056699348691181,Small,grey
ALDH3A2,-0.12920323948005485,-0.28367231652654823,No,No,0.15446907704649337,Small,grey
ALDH4A1,-1.1849365284092506,-1.1326423439942221,Down,Down,-0.05229418441502842,Small,yellow
ALDH5A1,-0.625426468354235,-0.9012380531402417,No,No,0.27581158478600676,Small,grey
ALDH6A1,-1.9990260607127905,-1.266555066558297,Down,Down,-0.7324709941544936,Small,yellow
ALDH7A1,-0.6448324755985693,-0.7906264256573667,No,No,0.14579395005879747,Small,grey
ALDH9A1,0.18169165687316635,-0.5957322152609521,No,No,0.7774238721341185,Small,grey
ALDOA,-0.3748072989287863,0.1998304559577928,No,No,-0.5746377548865791,Small,grey
ALDOC,-2.161197625451761,-0.4956828228413386,Down,No,-1.6655148026104225,Big,blue
ALG1,0.17545519343120386,0.061839253817862705,No,No,0.11361593961334115,Small,grey
ALG10,0.4315081385325763,-0.6168542231194909,No,No,1.0483623616520672,Big,grey
