Accession,PC1
P51570,0.015713288707460787
P46783,0.01571288653228145
P14735,0.015712382934519074
Q13459,0.015712104901648632
Q9NY12,0.015709610666430052
Q96T60,0.015703325822723418
Q92963,0.015702950371951713
O14524,0.015702212332339743
Q96SB8,0.015699366453369955
Q9NR28,0.01569802257154957
Q587I9,0.015696880123844476
Q8WUZ0,0.01569214871714268
Q14152,0.015691493808777917
Q9BVS5,0.015681757894468108
P62987,0.015680365071531737
O75521,0.01567522766125466
Q9Y3X0,0.015673162026907217
Q6YP21,0.015672511000798202
Q16401,0.015657548375651007
Q9NVH2,0.015654754523873226
Q9NRK6,0.015651696233196292
P42126,0.015641415185348343
O15372,0.015639224974006962
P62857,0.01563771057337933
P49137,0.01563048376259977
Q8TEM1,0.015626509890345443
Q7Z434,0.01562532020158988
Q07352,0.015620444109705528
O60318,0.015617296917049564
Q9NW13,0.015615571852010743
Q9UIF9,0.015615125093553308
O95453,0.015613752178181516
Q9H488,0.015607748414437662
O95571,0.01560773820916276
Q99590,0.015605288157714522
Q5HYK3,0.015598135909690999
Q9NVN8,0.015595720777667051
P27708,0.01559136976944318
O75616,0.01559060108928955
Q6NVY1,0.015589757644863549
P61247,0.015581335216755225
O75351,0.015581159473972966
P49189,0.015581133497865596
Q9UGM6,0.015576460569688684
O00566,0.015575478494569448
P49790,0.015573712295418657
Q6IQ26,0.01557143734745475
P30711,0.015570799016490293
Q99549,0.015562698052584046
P46937,0.015557818034604803
Q9UNX4,0.01554868126487759
Q9H1H9,0.015547878709508694
Q00653,0.015546312765784965
Q13428,0.015542580276202686
Q9NUB1,0.015535285993835914
Q9P0U3,0.015534195423017766
Q9BT17,0.015529121222481323
Q53F19,0.015529007643200591
P04792,0.015526561261538225
Q8N6S5,0.015523593744136019
O14841,0.015521736337081116
Q9NVE5,0.015513690966291608
Q9NP81,0.015505681266985727
O75683,0.015503126051536852
Q96PU4,0.015499778561671508
Q13895,0.015496554036514603
Q96JB2,0.015494087086430908
Q9HAN9,0.015493363998356975
Q9Y2S7,0.015491197477558206
Q8N201,0.01548990274029754
Q03154,0.015488147221607258
Q9BS40,0.015479885533983764
O43708,0.015472180719941065
Q9NQC8,0.015469255359942117
Q15311,0.015460662849796343
Q9Y2B0,0.015460308018704665
C9J7I0,0.015459715186799262
Q9NVV4,0.015455754201647716
O60832,0.015454741056236277
Q6JQN1,0.015450777589515565
O43823,0.015440885547592518
Q7L8W6,0.015428916246928671
Q15061,0.015426351736671475
Q7Z2W4,0.015423038045286223
O00303,0.015410015707087228
Q96HY7,0.015407524349480249
P63244,0.015406486845787727
Q6ZWJ1,0.015406390369118155
